canonical_name,canonical_address,overlay_space,overlay_offset_hex,overlay_name,match_kind
FUN_1a0a_007a,1a0a:007a,ram,a11a,FUN_0000_a11a,exact
FUN_1a0a_01a6,1a0a:01a6,ram,a246,FUN_0000_a246,exact
FUN_1a29_015b,1a29:015b,ram,a3eb,FUN_0000_a3eb,exact
FUN_1a29_01d1,1a29:01d1,ram,a461,FUN_0000_a461,exact
FUN_1a29_0209,1a29:0209,ram,a499,FUN_0000_a499,exact
FUN_1a29_021b,1a29:021b,ram,a4ab,FUN_0000_a4ab,exact
FUN_1a4e_0008,1a4e:0008,ram,a4e8,FUN_0000_a4e8,exact
FUN_1a4e_001c,1a4e:001c,ram,a4fc,FUN_0000_a4fc,exact
FUN_1a58_000d,1a58:000d,ram,a58d,FUN_0000_a58d,exact
FUN_1a58_0054,1a58:0054,ram,a5d4,FUN_0000_a5d4,exact
FUN_1a58_008c,1a58:008c,ram,a60c,FUN_0000_a60c,exact
FUN_1a58_01d9,1a58:01d9,ram,a759,FUN_0000_a759,exact
FUN_1a58_026c,1a58:026c,ram,a7ec,FUN_0000_a7ec,exact
FUN_1a58_02ce,1a58:02ce,ram,a84e,FUN_0000_a84e,exact
FUN_1a58_02e0,1a58:02e0,ram,a860,FUN_0000_a860,exact
FUN_1a58_036b,1a58:036b,ram,a8eb,FUN_0000_a8eb,exact
FUN_1a58_038b,1a58:038b,ram,a90b,FUN_0000_a90b,exact
FUN_1a58_03ce,1a58:03ce,ram,a94e,FUN_0000_a94e,exact
FUN_1a58_03e2,1a58:03e2,ram,a962,FUN_0000_a962,exact
FUN_1a58_042d,1a58:042d,ram,a9ad,FUN_0000_a9ad,exact
FUN_1a58_0456,1a58:0456,ram,a9d6,FUN_0000_a9d6,exact
FUN_1a58_054f,1a58:054f,ram,aacf,FUN_0000_aacf,exact
FUN_1a58_0568,1a58:0568,ram,aae8,FUN_0000_aae8,exact
FUN_1a58_0599,1a58:0599,ram,ab19,FUN_0000_ab19,exact
FUN_1a58_05be,1a58:05be,ram,ab3e,FUN_0000_ab3e,exact
FUN_1a58_06fd,1a58:06fd,ram,ac7d,FUN_0000_ac7d,exact
FUN_1acb_0006,1acb:0006,ram,acb6,FUN_0000_acb6,exact
